code,field1,field2,field3,field4,field5,field6,field7
160,23.4,42.5,3.075,43,-64,9,3
161,23.4,42.6,3.075,44,-64,9,3
162,23.5,42.6,3.075,45,-64,9,2
163,23.5,42.7,3.075,46,-84,8,2
164,23.5,42.7,3.075,47,-64,10,3
165,23.5,42.7,3.075,48,-81,9,3
166,23.6,42.8,3.075,49,-68,9,2
167,23.6,42.8,3.071,50,-88,9,2
168,23.7,42.8,3.075,51,-66,9,3
169,23.7,42.9,3.075,52,-64,9,3
170,23.7,42.9,3.075,53,-64,10,3
171,23.7,43.0,3.075,54,-63,9,3
172,23.7,43.0,3.075,55,-81,9,2
173,23.7,43.0,3.075,56,-62,10,3
174,23.7,43.0,3.071,57,-80,9,2
175,23.7,42.9,3.075,58,-66,9,3
176,23.8,42.9,3.071,59,-62,9,3
177,23.8,42.9,3.071,60,-80,9,2
178,23.8,42.9,3.075,61,-63,9,3
179,23.9,43.1,3.071,62,-78,9,2
180,23.9,43.1,3.071,63,-63,9,3
181,23.9,43.2,3.075,64,-63,9,3
182,23.9,43.4,3.075,65,-87,9,2
183,23.9,43.4,3.075,66,-64,9,3
184,23.9,43.5,3.075,67,-84,9,2
185,24.0,43.6,3.071,68,-63,9,3
186,24.0,43.6,3.071,69,-63,10,3
187,24.0,43.6,3.075,70,-62,9,1
188,24.0,43.6,3.075,71,-66,9,3
189,24.0,43.7,3.075,72,-83,9,2
190,24.0,43.7,3.075,73,-66,9,3
191,23.9,43.2,3.075,74,-87,9,2
192,23.7,42.3,3.071,75,-86,8,1
193,23.6,44.5,3.075,76,-66,9,3
194,23.3,43.1,3.075,77,-80,9,2
195,23.4,44.9,3.071,78,-62,10,3
196,23.2,43.4,3.075,79,-87,8,2
197,23.1,44.9,3.075,80,-89,9,1
198,23.0,43.7,3.075,81,-62,10,3
199,22.9,43.8,3.075,82,-87,9,2
200,22.9,44.8,3.075,83,-63,10,3
201,22.8,43.5,3.075,84,-84,8,2
202,22.8,45.2,3.075,85,-84,9,1
203,22.7,43.5,3.075,86,-63,9,2
204,22.7,45.0,3.075,87,-91,9,1
205,22.7,44.2,3.075,88,-63,10,3
206,22.7,45.6,3.075,89,-84,9,2
207,22.6,44.7,3.075,90,-94,8,1
208,22.7,46.1,3.075,91,-84,9,2
209,22.6,44.6,3.071,92,-93,10,1
210,22.6,46.3,3.075,93,-85,10,3
211,22.6,45.6,3.075,94,-83,10,2
212,22.6,46.0,3.075,95,-91,9,1
213,22.6,46.7,3.075,96,-94,9,2
214,22.7,46.2,3.071,97,-91,9,1
215,22.8,45.6,3.071,98,-63,9,3
216,23.0,45.7,3.071,99,-84,9,1
217,23.1,45.6,3.075,100,-83,9,1
218,23.2,45.4,3.075,101,-62,9,3
219,23.2,45.3,3.071,102,-61,10,2
220,23.3,45.2,3.075,103,-62,10,3
221,23.3,45.0,3.075,104,-91,8,2
222,23.4,45.2,3.071,105,-86,9,2
223,23.4,45.5,3.075,106,-64,10,2
224,23.5,45.7,3.071,107,-83,9,2
225,23.5,45.8,3.075,108,-66,9,2
226,23.6,45.7,3.075,109,-84,9,2
227,23.6,45.8,3.071,110,-84,9,2
228,23.6,45.7,3.075,111,-67,9,2
229,23.7,45.8,3.075,112,-66,10,2
230,23.7,45.8,3.071,113,-63,9,2
231,23.7,45.9,3.075,114,-80,9,2
232,23.8,45.7,3.075,115,-66,9,2
233,23.8,45.6,3.071,116,-83,9,1
234,23.8,45.7,3.071,117,-84,9,2
235,23.8,45.7,3.075,118,-67,9,2
236,23.8,45.7,3.075,119,-66,12,2
237,23.8,45.8,3.075,120,-68,9,2
238,23.9,45.7,3.075,121,-68,9,3
239,23.9,45.7,3.071,122,-64,9,3
240,23.8,44.9,3.071,123,-65,9,3
241,23.5,44.3,3.075,124,-67,10,3
242,23.4,46.0,3.075,125,-64,9,3
243,23.2,44.1,3.075,126,-86,8,2
244,23.1,45.9,3.075,127,-64,8,3
245,23.0,44.4,3.075,128,-63,9,3
246,23.0,45.7,3.071,129,-65,9,3
247,22.8,44.4,3.075,130,-63,10,3
248,22.8,45.5,3.075,131,-87,9,3
249,22.7,44.7,3.075,132,-64,10,3
250,22.7,46.5,3.075,133,-82,9,2
251,22.6,44.5,3.075,134,-82,9,3
252,22.5,45.1,3.075,135,-64,9,3
253,22.5,44.7,3.075,136,-66,9,3
254,22.5,46.1,3.075,137,-64,9,3
255,22.5,44.8,3.075,138,-83,10,2
256,22.5,46.5,3.071,139,-63,9,3
257,22.4,45.5,3.075,140,-67,10,3
258,22.4,45.7,3.071,141,-68,9,3
259,22.4,46.2,3.071,142,-63,9,3
260,22.4,45.3,3.075,143,-83,9,2
261,22.4,46.7,3.075,144,-63,9,3
262,22.3,45.3,3.075,145,-64,9,3
263,22.4,46.9,3.075,146,-67,9,3
264,22.3,45.9,3.075,147,-64,10,3
265,22.3,45.9,3.075,148,-63,9,2
266,22.3,46.5,3.075,149,-67,9,3
267,22.2,45.4,3.075,150,-81,9,2
268,22.3,47.0,3.075,151,-67,10,3
269,22.2,45.6,3.075,152,-63,9,3
270,22.3,46.7,3.075,153,-83,10,1
271,22.2,46.3,3.075,154,-80,9,3
272,22.2,45.6,3.071,155,-62,11,2
273,22.2,46.8,3.071,156,-67,9,3
274,22.1,45.5,3.075,157,-63,9,3
275,22.2,47.0,3.075,158,-87,9,1
276,22.1,45.8,3.071,159,-67,9,2
277,22.1,46.4,3.075,160,-63,10,2
278,22.1,46.5,3.075,161,-66,9,3
279,22.2,46.8,3.075,162,-80,9,2
280,22.3,46.2,3.075,163,-88,9,1
281,22.5,46.1,3.075,164,-63,9,3
282,22.6,45.9,3.075,165,-88,9,1
283,22.7,45.8,3.075,166,-84,9,1
284,22.7,45.7,3.071,167,-88,9,2
285,22.9,45.5,3.071,168,-84,9,1
286,22.9,45.4,3.075,169,-63,9,3
287,23.1,45.4,3.075,170,-86,9,1
288,23.1,45.3,3.071,171,-88,9,1
289,23.1,45.3,3.071,172,-81,9,2
290,23.2,45.2,3.075,173,-82,9,1
291,23.2,45.2,3.071,174,-66,9,3
292,23.2,45.2,3.075,175,-88,8,1
293,23.3,45.2,3.071,176,-83,9,1
294,23.3,45.2,3.075,177,-88,9,2
295,23.4,45.2,3.075,178,-78,9,1
296,23.4,45.2,3.075,179,-63,10,2
297,23.4,45.5,3.075,180,-61,9,1
298,23.5,45.5,3.075,181,-83,9,1
299,23.3,44.2,3.071,182,-82,9,1
300,23.1,44.0,3.071,183,-81,9,1
301,23.0,44.8,3.071,184,-87,9,2
302,22.9,44.0,3.075,185,-90,8,1
303,22.7,44.8,3.071,186,-62,9,2
304,22.5,43.4,3.071,187,-85,8,2
305,22.5,45.0,3.075,188,-78,9,2
306,22.3,44.1,3.075,189,-81,9,3
307,22.3,45.7,3.071,190,-84,9,2
308,22.2,45.1,3.075,191,-66,9,2
309,22.2,45.0,3.071,192,-82,8,2
310,22.2,45.9,3.075,193,-83,9,2
311,22.1,44.8,3.075,194,-78,9,2
312,22.1,46.6,3.075,195,-78,9,2
313,22.0,45.3,3.075,196,-66,9,2
314,22.0,46.0,3.075,197,-85,8,2
315,22.0,46.2,3.075,198,-61,9,3
316,21.9,45.3,3.075,199,-61,10,3
317,21.9,46.8,3.071,200,-61,10,3
318,21.8,45.3,3.071,201,-61,9,3
319,21.9,47.0,3.075,202,-67,9,3
320,21.8,46.1,3.075,203,-61,10,3
321,21.8,45.9,3.075,204,-62,9,3
322,21.8,46.6,3.075,205,-65,10,3
323,21.8,45.5,3.075,206,-68,9,3
324,21.8,47.3,3.075,207,-67,10,3
325,21.7,45.8,3.071,208,-62,10,3
326,21.7,46.8,3.075,209,-82,9,3
327,21.6,46.4,3.075,210,-61,9,3
328,21.6,45.8,3.075,211,-62,9,3
329,21.6,47.1,3.075,212,-78,9,3
330,21.6,45.7,3.075,213,-61,9,3
331,21.6,47.4,3.075,214,-68,10,3
332,21.6,46.2,3.075,215,-62,9,3
333,21.6,46.3,3.075,216,-61,9,3
334,21.5,47.1,3.075,217,-66,9,3
335,21.5,45.8,3.071,218,-63,9,3
336,21.5,47.6,3.075,219,-78,9,3
337,21.4,46.1,3.075,220,-63,9,3
338,21.5,47.0,3.075,221,-77,9,2
339,21.4,46.8,3.075,222,-63,10,3
340,21.4,46.1,3.075,223,-63,10,3
341,21.4,47.4,3.075,224,-86,9,1
342,21.4,46.0,3.075,225,-79,9,3
343,21.4,47.7,3.075,226,-67,9,2
344,21.4,46.5,3.075,227,-66,10,3
345,21.4,46.6,3.075,228,-62,10,3
346,21.4,47.2,3.075,229,-84,9,1
347,21.3,46.0,3.075,230,-66,10,3
348,21.3,47.6,3.075,231,-85,8,2
349,21.3,46.3,3.075,232,-62,9,2
350,21.3,47.4,3.071,233,-62,9,3
351,21.3,47.0,3.075,234,-83,9,1
352,21.3,46.4,3.075,235,-60,9,3
353,21.3,47.5,3.075,236,-85,8,1
354,21.3,46.1,3.075,237,-66,9,3
355,21.3,47.8,3.075,238,-78,9,3
356,21.2,46.6,3.075,239,-60,9,1
357,21.3,46.9,3.075,240,-60,10,3
358,21.2,47.3,3.075,241,-61,9,1
359,21.2,46.2,3.075,242,-67,10,3
360,21.2,47.8,3.075,243,-75,9,2
361,21.2,46.4,3.075,244,-82,9,1
362,21.2,47.6,3.075,245,-68,9,3
363,21.2,47.1,3.075,246,-84,10,1
364,21.1,46.5,3.071,247,-59,9,3
365,21.2,47.7,3.075,248,-81,9,1
366,21.1,46.3,3.071,249,-84,9,1
367,21.2,48.1,3.075,250,-66,9,3
368,21.1,46.8,3.075,251,-81,8,1
369,21.1,47.1,3.075,252,-62,10,3
370,21.1,47.6,3.075,253,-79,9,1
371,21.1,46.5,3.075,254,-81,9,1
372,21.1,48.1,3.075,255,-80,9,2
373,21.1,46.8,3.075,256,-85,9,1
374,21.1,47.7,3.075,257,-66,9,3
375,22.0,46.1,3.075,285,-91,8,3
376,22.1,46.1,3.071,286,-63,10,2
377,22.8,45.7,3.075,302,-66,9,2
378,22.8,45.7,3.075,304,-89,9,3
379,22.9,45.7,3.075,307,-63,9,2
380,22.9,45.7,3.075,308,-60,10,3
381,22.9,45.8,3.071,309,-82,8,2
382,22.9,45.8,3.071,310,-67,10,3
383,22.9,45.9,3.075,311,-61,9,2
384,22.9,46.1,3.075,312,-61,9,2
385,22.9,46.1,3.071,313,-61,10,2
386,23.0,46.2,3.075,314,-78,9,1
387,23.0,46.2,3.071,315,-82,9,3
388,23.0,46.2,3.075,316,-61,10,2
389,23.0,46.2,3.075,317,-62,10,2
390,22.5,46.4,3.075,413,-64,9,3
391,22.5,48.1,3.075,414,-78,10,2
392,22.4,48.0,3.071,416,-71,9,2
393,22.3,47.0,3.071,417,-79,9,2
394,22.2,46.7,3.075,418,-63,10,2
395,22.2,47.8,3.075,419,-81,9,1
396,22.1,46.5,3.075,420,-84,9,2
397,22.2,48.6,3.071,421,-73,10,2
398,22.1,46.9,3.075,422,-82,9,1
399,22.1,48.4,3.075,423,-83,9,2
400,22.1,47.8,3.075,424,-80,9,1
401,22.1,47.2,3.075,425,-83,9,1
402,22.1,48.4,3.075,426,-78,9,2
403,22.0,46.7,3.075,427,-77,8,1
404,22.1,48.8,3.075,428,-80,8,1
405,22.0,47.1,3.075,429,-79,9,1
406,22.0,48.3,3.071,430,-78,11,2
407,22.0,47.8,3.075,431,-72,10,3
408,21.9,47.3,3.075,432,-85,8,2
409,21.9,48.4,3.075,433,-81,9,2
410,21.9,46.7,3.075,434,-80,9,2
411,21.9,48.9,3.075,435,-82,8,2
412,21.9,47.3,3.075,436,-77,9,2
413,21.9,48.4,3.075,437,-76,9,2
414,21.9,48.1,3.075,438,-77,9,2
415,21.9,47.2,3.075,439,-84,8,2
416,21.9,48.6,3.075,440,-76,9,2
417,21.8,47.0,3.075,441,-63,9,3
418,21.9,48.8,3.075,442,-63,10,3
419,21.8,46.8,3.075,443,-64,9,3
420,22.0,47.0,3.075,444,-82,8,2
421,22.1,47.0,3.071,445,-63,10,3
422,22.2,46.7,3.075,446,-85,9,3
423,22.3,46.5,3.075,447,-64,9,3
424,22.4,46.3,3.075,448,-64,9,3
425,22.5,46.2,3.075,449,-64,10,2
426,22.5,46.1,3.075,450,-64,9,3
427,22.6,46.0,3.075,451,-62,10,3
428,22.6,45.9,3.075,452,-63,10,3
429,22.7,45.8,3.075,453,-79,8,3
430,22.7,45.8,3.075,454,-82,9,3
431,22.8,45.7,3.075,455,-68,9,3
432,22.8,45.6,3.075,456,-78,10,3
433,22.8,45.6,3.075,457,-63,9,3
434,22.9,45.7,3.075,458,-74,10,2
435,22.9,45.7,3.075,459,-62,10,3
436,23.0,45.8,3.075,460,-63,10,3
437,23.0,45.8,3.075,461,-72,9,3
438,23.0,45.8,3.071,462,-62,10,1
439,23.0,45.9,3.075,463,-75,9,2
440,23.1,46.0,3.075,464,-75,9,3
441,23.1,46.0,3.075,465,-80,9,3
442,23.1,46.0,3.075,466,-73,9,3
443,23.1,46.0,3.075,467,-63,10,3
444,23.2,45.9,3.071,468,-74,10,2
445,23.2,45.9,3.075,469,-62,10,3
446,23.2,46.0,3.075,470,-70,9,2
447,23.2,46.0,3.071,471,-63,9,3
448,23.2,46.0,3.075,472,-69,10,1
449,23.2,45.9,3.075,473,-78,8,2
450,23.3,45.9,3.075,474,-63,10,3
451,23.3,46.0,3.075,475,-63,9,2
452,23.3,46.0,3.071,476,-84,8,2
453,23.4,46.1,3.075,477,-64,9,2
454,23.4,46.2,3.075,478,-72,9,2
455,23.4,46.4,3.071,479,-63,10,2
456,23.4,46.5,3.071,480,-72,9,2
457,23.4,46.4,3.075,481,-64,10,2
458,23.4,46.5,3.075,482,-64,9,2
459,23.4,45.3,3.075,483,-78,9,1
460,22.9,42.9,3.071,484,-80,9,2
461,22.9,43.0,3.075,485,-61,10,2
462,22.8,42.1,3.075,486,-61,9,2
463,22.9,42.6,3.071,487,-73,10,2
464,22.8,42.4,3.075,488,-74,10,1
465,22.7,41.4,3.075,489,-73,10,3
466,22.4,40.5,3.071,490,-64,9,3
467,22.4,40.5,3.075,491,-82,8,3
468,22.4,40.5,3.075,492,-76,10,2
469,22.5,40.3,3.075,493,-83,9,1
470,22.4,40.0,3.071,494,-73,10,3
471,22.4,40.1,3.071,497,-63,10,3
472,22.5,40.1,3.075,498,-82,9,1
473,22.3,39.3,3.075,499,-63,10,3
474,22.4,39.7,3.075,500,-82,9,1
475,22.3,39.4,3.075,501,-82,9,1
476,22.1,39.1,3.075,502,-77,8,1
477,22.1,39.3,3.075,503,-64,9,1
478,22.1,39.4,3.075,504,-75,9,3
479,22.0,38.8,3.075,505,-76,8,1
480,22.2,39.2,3.075,506,-76,9,2
481,22.2,39.1,3.075,507,-73,10,3
482,22.1,38.7,3.075,509,-64,10,3
483,22.0,38.9,3.075,510,-64,9,3
484,21.8,38.7,3.075,511,-64,9,2
485,21.9,38.6,3.075,512,-64,9,3
486,21.6,38.3,3.075,513,-64,9,3
487,21.5,37.9,3.075,514,-64,10,3
488,21.6,38.1,3.071,515,-63,9,3
489,21.8,38.0,3.075,516,-63,9,2
490,22.0,38.5,3.071,517,-63,10,2
491,22.2,39.3,3.075,518,-63,9,1
492,22.2,38.3,3.075,519,-78,9,2
493,22.2,38.1,3.075,520,-62,10,3
494,22.1,38.1,3.075,521,-74,9,2
495,21.7,39.4,3.075,524,-73,9,3
496,21.9,40.1,3.075,527,-77,9,3
497,22.1,41.1,3.075,528,-79,9,2
498,21.9,40.5,3.075,529,-66,9,3
499,22.1,41.1,3.075,530,-65,9,3
500,22.1,41.2,3.075,531,-66,10,3
501,22.1,41.1,3.075,532,-73,9,3
502,22.3,41.8,3.075,533,-75,10,3
503,22.4,41.9,3.075,534,-69,10,3
504,22.3,41.0,3.075,535,-66,10,3
505,22.1,40.5,3.075,536,-74,10,3
506,22.2,40.5,3.075,537,-63,9,3
507,22.2,39.8,3.075,538,-63,9,3
508,22.3,39.6,3.075,539,-62,10,2
509,22.3,39.2,3.075,540,-63,10,3
510,22.2,38.8,3.075,541,-74,10,2
511,22.2,38.9,3.075,542,-70,9,3
512,22.1,38.4,3.075,543,-75,9,3
513,22.1,38.5,3.075,544,-63,9,3
514,22.1,38.5,3.075,545,-72,9,2
515,22.1,38.7,3.075,546,-74,9,2
516,22.2,39.0,3.075,547,-80,10,3
517,22.1,38.7,3.071,548,-63,10,3
518,22.2,39.3,3.075,549,-65,9,3
519,22.2,40.3,3.075,550,-64,9,2
520,22.4,42.2,3.075,551,-83,8,2
521,22.6,42.2,3.075,552,-73,9,3
522,22.7,42.1,3.075,553,-77,10,2
523,22.7,42.0,3.075,554,-62,10,3
524,22.7,42.1,3.075,555,-78,9,2
525,22.7,42.1,3.075,556,-83,9,2
526,22.8,42.1,3.075,557,-65,9,3
527,22.8,42.1,3.075,558,-77,9,2
528,22.9,42.1,3.075,559,-64,9,2
529,22.9,42.4,3.075,560,-64,9,2
530,22.9,42.5,3.071,561,-79,10,3
531,23.0,42.4,3.071,562,-74,10,2
532,22.9,42.5,3.075,563,-76,9,2
533,23.0,42.6,3.075,564,-79,9,2
534,23.0,42.5,3.075,565,-65,9,3
535,23.0,42.6,3.071,566,-74,9,2
536,23.0,42.6,3.075,567,-79,9,3
537,23.0,42.6,3.075,568,-78,9,2
538,23.1,42.6,3.075,569,-78,9,1
539,23.1,42.6,3.071,570,-73,9,3
540,23.1,42.6,3.075,571,-72,10,2
541,23.1,42.7,3.075,572,-65,9,3
542,23.1,42.6,3.075,573,-79,9,2
543,23.1,42.6,3.075,574,-77,9,1
544,23.1,42.5,3.075,575,-76,10,2
545,23.1,42.5,3.075,576,-79,9,1
546,23.2,42.6,3.071,577,-65,9,3
547,23.2,42.5,3.075,578,-66,9,2
548,23.2,42.6,3.075,579,-80,9,1
549,23.2,42.8,3.075,580,-65,10,2
550,23.2,43.0,3.075,581,-83,8,1
551,23.2,43.1,3.075,582,-69,10,2
552,23.2,43.2,3.075,584,-81,9,1
553,23.3,43.2,3.075,585,-77,9,2
554,23.3,43.2,3.075,586,-84,11,1
555,23.3,43.2,3.071,587,-84,9,3
556,23.3,43.3,3.075,588,-78,9,2
557,23.3,43.5,3.075,589,-79,8,2
558,23.3,43.4,3.071,590,-81,8,3
559,23.3,43.3,3.071,591,-76,10,2
560,23.3,43.2,3.075,592,-69,9,3
561,23.3,43.2,3.075,593,-75,9,2
562,23.3,43.3,3.075,594,-80,9,2
563,23.3,43.3,3.075,595,-66,9,2
564,23.3,43.3,3.075,596,-64,9,2
565,23.4,43.3,3.075,597,-70,9,3
566,23.4,43.4,3.075,598,-84,9,2
567,23.4,43.4,3.075,599,-66,10,2
568,23.4,43.4,3.075,600,-81,9,3
569,23.4,43.6,3.075,601,-66,9,2
570,23.4,43.6,3.075,602,-66,9,2
571,23.4,43.6,3.075,603,-76,9,2
572,23.4,43.6,3.075,604,-65,9,2
573,23.4,43.6,3.075,605,-66,9,2
574,23.4,43.7,3.075,606,-77,9,2
575,23.4,43.7,3.075,607,-66,9,2
576,23.4,43.7,3.075,608,-76,9,2
577,23.4,43.7,3.075,609,-80,8,2
578,23.4,43.7,3.075,610,-82,8,2
579,23.4,43.7,3.075,611,-83,8,2
580,23.4,43.8,3.071,612,-79,9,1
581,23.4,43.8,3.075,613,-66,9,2
582,23.5,43.8,3.075,614,-65,9,3
583,23.5,43.8,3.075,615,-66,9,3
584,23.4,43.9,3.075,616,-77,9,3
585,23.5,43.8,3.075,617,-81,8,3
586,23.4,43.8,3.075,618,-65,10,3
587,23.1,42.3,3.075,619,-71,9,2
588,23.0,44.2,3.075,620,-71,9,3
589,22.7,43.1,3.075,621,-66,10,2
590,22.7,45.3,3.071,622,-78,9,1
591,22.5,44.0,3.075,623,-65,9,3
592,22.5,44.7,3.075,624,-79,9,2
593,22.4,45.0,3.075,625,-75,9,3
594,22.2,44.2,3.075,626,-65,10,2
595,22.2,45.9,3.075,627,-84,9,2
596,22.2,44.4,3.075,628,-65,9,2
597,22.1,46.1,3.075,629,-82,9,2
598,22.0,45.0,3.075,630,-64,9,3
599,22.0,45.0,3.075,631,-66,9,3
600,22.0,45.9,3.075,632,-82,9,2
